chrom	start	end	insNOnub1	insNOnub2	insSUMOnub1	insSUMOnub2
chr2L	20000	66000	-0.112256996333599	-0.195291996002197	-0.247038006782532	-0.14342699944973
chr2L	74000	108000	-0.159354001283646	0.15234899520874	-0.250800013542175	0.138454005122185
chr2L	108000	142000	0.15234899520874	0.107901997864246	0.138454005122185	0.0807290002703667
chr2L	207000	249000	0.692345023155212	-0.257283985614777	0.562263011932373	-0.299277991056442
chr2L	249000	300000	-0.257283985614777	-0.137935996055603	-0.299277991056442	-0.205344006419182
chr2L	414000	452000	-0.0918689966201782	0.204440996050835	-0.231142997741699	0.224983006715775
chr2L	489000	541000	-0.308288991451263	-0.183261007070541	-0.326557993888855	-0.2394710034132
chr2L	541000	589000	-0.183261007070541	-0.0512959994375706	-0.2394710034132	0.00138499995227903
chr2L	589000	605000	-0.0512959994375706	-0.439680993556976	0.00138499995227903	-0.484710991382599
chr2L	605000	685000	-0.439680993556976	0.455814987421036	-0.484710991382599	0.42059001326561
chr2L	699000	804000	0.286051988601685	-0.30316099524498	0.219747006893158	-0.374689996242523
chr2L	804000	851000	-0.30316099524498	0.00118100002873689	-0.374689996242523	-0.151313006877899
chr2L	871000	977000	-0.513487994670868	0.0200869999825954	-0.486041009426117	0.0629179999232292
chr2L	1009000	1048000	0.170162007212639	-0.207868993282318	0.235198006033897	-0.161588996648788
chr2L	1048000	1081000	-0.207868993282318	-0.128374993801117	-0.161588996648788	-0.0822620019316673
chr2L	1081000	1110000	-0.128374993801117	0.202463001012802	-0.0822620019316673	0.189514994621277
chr2L	1116000	1141000	0.215167000889778	-0.236992001533508	0.171581998467445	-0.262594014406204
chr2L	1141000	1196000	-0.236992001533508	-0.371392011642456	-0.262594014406204	-0.490328013896942
chr2L	1196000	1217000	-0.371392011642456	-0.0207330007106066	-0.490328013896942	0.0488560013473034
chr2L	1229000	1371000	-0.0944570004940033	-0.402011007070541	-0.0258389990776777	-0.306885004043579
chr2L	1371000	1486000	-0.402011007070541	-0.268366008996964	-0.306885004043579	-0.294892996549606
chr2L	1486000	1615000	-0.268366008996964	-0.291877001523972	-0.294892996549606	-0.233481004834175
chr2L	1615000	1684000	-0.291877001523972	0.355937004089355	-0.233481004834175	0.563317000865936
chr2L	1689000	1709000	0.234068006277084	0.0364199988543987	0.363480001688004	0.0130810001865029
chr2L	1709000	1761000	0.0364199988543987	-0.782279014587402	0.0130810001865029	-0.60692298412323
chr2L	1776000	1803000	-0.285441994667053	-0.131643995642662	-0.237454995512962	0.0579750016331673
chr2L	1816000	1864000	-0.163642004132271	-0.254265010356903	0.112109996378422	-0.0990649983286858
chr2L	1864000	1884000	-0.254265010356903	0.149142995476723	-0.0990649983286858	0.181004002690315
chr2L	1884000	1899000	0.149142995476723	0.102456003427505	0.181004002690315	0.083127997815609
chr2L	1900000	1972000	0.104542002081871	-0.266326993703842	0.0990490019321442	-0.258368998765945
chr2L	1987000	2054000	-0.0715330019593239	-0.645906984806061	-0.140163004398346	-0.559554994106293
chr2L	2054000	2104000	-0.645906984806061	0.344186991453171	-0.559554994106293	0.374217987060547
chr2L	2247000	2290000	-0.536328017711639	0.0072949999012053	-0.453476995229721	0.0483499988913536
