PcG1 chr2L 5001 20000 1.35996 1.84949 1 1.35996 0
Null1 chr2L 20000 66000 10.6451 32.9803 6 1.77419 1.53263
Active1 chr2L 74000 108000 -0.9301 3.38453 8 -0.116262 0.63996
Active2 chr2L 108000 142000 -2.9209 5.84995 7 -0.417271 0.813383
Active3 chr2L 207000 249000 -1.542 1.8717 7 -0.220285 0.467825
Active4 chr2L 249000 300000 2.45637 13.8524 17 0.144492 0.89105
Active5 chr2L 414000 452000 -0.995085 3.97293 13 -0.076545 0.547495
PcG2 chr2L 489000 541000 2.18064 3.471 2 1.09032 0.739391
PcG3 chr2L 541000 589000 7.80141 37.2293 14 0.557243 1.53255
PcG4 chr2L 589000 605000 0.355319 0.126252 1 0.355319 0
Active6 chr2L 605000 685000 2.35256 5.53454 1 2.35256 0
Active7 chr2L 699000 804000 4.05543 19.2013 5 0.811086 1.78393
Active8 chr2L 804000 851000 1.08472 2.46281 13 0.0834399 0.427182
Null2 chr2L 871000 977000 2.26887 4.70025 7 0.324125 0.7526
Null3 chr2L 1009000 1048000 7.44252 55.3911 1 7.44252 0
Active9 chr2L 1048000 1081000 0.584982 0.983257 4 0.146245 0.473737
Null4 chr2L 1081000 1110000 -0.768583 0.582304 2 -0.384291 0.378777
Active10 chr2L 1116000 1141000 3.53906 7.89634 4 0.884766 1.09146
Active11 chr2L 1141000 1196000 -0.870251 0.960109 17 -0.0511912 0.23207
Null6 chr2L 1229000 1371000 6.49761 28.6303 4 1.6244 2.12577
PcG5 chr2L 1371000 1486000 -1.9073 3.01318 3 -0.635768 0.77472
Null7 chr2L 1486000 1615000 4.69798 19.5001 8 0.587248 1.4466
PcG6 chr2L 1615000 1684000 2.08004 4.32655 1 2.08004 0
Null8 chr2L 1689000 1709000 -0.148954 0.0298876 2 -0.0744771 0.096938
Active12 chr2L 1709000 1761000 3.76793 21.2706 11 0.342539 1.34772
Null10 chr2L 1816000 1864000 19.3911 134.893 3 6.4637 1.78466
Null11 chr2L 1864000 1884000 -1.26145 1.59126 1 -1.26145 0
Null12 chr2L 1884000 1899000 -0.0334602 0.00111958 1 -0.0334602 0
PcG7 chr2L 1900001 1972000 -0.0773699 0.0059861 1 -0.0773699 0
Null13 chr2L 1987000 2054000 -0.519728 29.5741 12 -0.0433106 1.56928
Null14 chr2L 2054000 2104000 3.96181 5.52833 3 1.3206 0.314294
Null15 chr2L 2247000 2290000 7.1277 26.7562 2 3.56385 0.822827
Active13 chr2L 2356000 2376000 -0.389568 1.11693 8 -0.048696 0.370465
Null17 chr2L 2376000 2414000 -0.103837 0.0112166 2 -0.0519187 0.0539698
PcG8 chr2L 2414000 2500000 1.75441 7.05367 7 0.25063 0.972035
