seqnames	start	end	width	strand
1	chr2L	5001	20000	15000	*
2	chr2L	20001	65000	45000	*
3	chr2L	65001	110000	45000	*
4	chr2L	110001	145000	35000	*
5	chr2L	155001	205000	50000	*
6	chr2L	205001	250000	45000	*
7	chr2L	250001	305000	55000	*
8	chr2L	305001	350000	45000	*
9	chr2L	365001	405000	40000	*
10	chr2L	405001	450000	45000	*
11	chr2L	450001	470000	20000	*
12	chr2L	490001	545000	55000	*
13	chr2L	545001	585000	40000	*
14	chr2L	585001	605000	20000	*
15	chr2L	605001	690000	85000	*
16	chr2L	695001	735000	40000	*
17	chr2L	735001	805000	70000	*
18	chr2L	805001	855000	50000	*
19	chr2L	870001	980000	110000	*
20	chr2L	1005001	1050000	45000	*
21	chr2L	1050001	1080000	30000	*
22	chr2L	1080001	1115000	35000	*
23	chr2L	1115001	1145000	30000	*
24	chr2L	1145001	1195000	50000	*
25	chr2L	1195001	1245000	50000	*
26	chr2L	1245001	1490000	245000	*
27	chr2L	1490001	1615000	125000	*
28	chr2L	1615001	1640000	25000	*
29	chr2L	1640001	1680000	40000	*
30	chr2L	1685001	1705000	20000	*
31	chr2L	1705001	1765000	60000	*
32	chr2L	1780001	1800000	20000	*
33	chr2L	1815001	1860000	45000	*
34	chr2L	1865001	1885000	20000	*
35	chr2L	1885001	1895000	10000	*
36	chr2L	1900001	1970000	70000	*
37	chr2L	1990001	2055000	65000	*
38	chr2L	2055001	2100000	45000	*
39	chr2L	2120001	2160000	40000	*
40	chr2L	2160001	2195000	35000	*
41	chr2L	2255001	2275000	20000	*
42	chr2L	2320001	2355000	35000	*
43	chr2L	2355001	2380000	25000	*
44	chr2L	2380001	2500000	120000	*
45	chr2L	2500001	2660000	160000	*
46	chr2L	2665001	2720000	55000	*
47	chr2L	2720001	2740000	20000	*
48	chr2L	2740001	2770000	30000	*
49	chr2L	2770001	2805000	35000	*
50	chr2L	2805001	2840000	35000	*
51	chr2L	2840001	2855000	15000	*
52	chr2L	2855001	2890000	35000	*
53	chr2L	2890001	2960000	70000	*
54	chr2L	2960001	3000000	40000	*
55	chr2L	3000001	3040000	40000	*
56	chr2L	3040001	3060000	20000	*
57	chr2L	3060001	3090000	30000	*
58	chr2L	3090001	3115000	25000	*
59	chr2L	3115001	3140000	25000	*
60	chr2L	3140001	3185000	45000	*
61	chr2L	3185001	3205000	20000	*
62	chr2L	3210001	3255000	45000	*
63	chr2L	3260001	3360000	100000	*
64	chr2L	3360001	3445000	85000	*
65	chr2L	3445001	3470000	25000	*
66	chr2L	3480001	3535000	55000	*
67	chr2L	3535001	3620000	85000	*
68	chr2L	3630001	3650000	20000	*
69	chr2L	3655001	3765000	110000	*
70	chr2L	3765001	3785000	20000	*
71	chr2L	3815001	3860000	45000	*
72	chr2L	3860001	3890000	30000	*
73	chr2L	3890001	4020000	130000	*
74	chr2L	4020001	4065000	45000	*
75	chr2L	4070001	4185000	115000	*
